; ===================================================================
; LEAF FUNCTIONS — MAKE NO OUTGOING CALLS (likely math/physics primitives)
; Rockstar Table Tennis  -  default.xex
; ===================================================================

; ADDRESS         NAME
; --------------  ----------------------------------------

  0x821AF6F0  sub_821AF6F0  [called 1x]
  0x821AF770  sub_821AF770  [called 1x]
  0x821AFB50  sub_821AFB50  [called 2x]
  0x821AFC28  sub_821AFC28  [called 2x]
  0x821AFD10  sub_821AFD10  [called 2x]
  0x821AFED8  sub_821AFED8  [called 1x]
  0x821B01C0  sub_821B01C0  [called 1x]
  0x821B0228  sub_821B0228  [called 1x]
  0x821B1718  sub_821B1718  [called 1x]
  0x821B3A10  sub_821B3A10  [called 2x]
  0x821B3A70  sub_821B3A70  [called 2x]
  0x821B5C78  sub_821B5C78  [called 0x]
  0x821B5C88  sub_821B5C88  [called 0x]
  0x821B67F8  sub_821B67F8  [called 0x]
  0x821B6B90  sub_821B6B90  [called 1x]
  0x821B6E58  sub_821B6E58  [called 1x]
  0x821B8598  sub_821B8598  [called 4x]
  0x821B8600  sub_821B8600  [called 3x]
  0x821B8890  sub_821B8890  [called 3x]
  0x821B99D8  sub_821B99D8  [called 1x]
  0x821BAFE0  sub_821BAFE0  [called 1x]
  0x821BCB20  sub_821BCB20  [called 2x]
  0x821C39B8  sub_821C39B8  [called 2x]
  0x821C6108  sub_821C6108  [called 0x]
  0x821C62F0  sub_821C62F0  [called 0x]
  0x821C6BC0  sub_821C6BC0  [called 0x]
  0x821C70F8  sub_821C70F8  [called 0x]
  0x821C72E8  sub_821C72E8  [called 0x]
  0x821C74C8  sub_821C74C8  [called 0x]
  0x821C7720  sub_821C7720  [called 0x]
  0x821C77E8  sub_821C77E8  [called 1x]
  0x821C8E88  sub_821C8E88  [called 4x]
  0x821C9A10  sub_821C9A10  [called 1x]
  0x821C9B70  sub_821C9B70  [called 26x]
  0x821C9CD0  sub_821C9CD0  [called 13x]
  0x821C9D68  sub_821C9D68  [called 82x]
  0x821CAD40  sub_821CAD40  [called 0x]
  0x821CAD48  sub_821CAD48  [called 0x]
  0x821CAD50  sub_821CAD50  [called 0x]
  0x821CAD58  sub_821CAD58  [called 0x]
  0x821CAD60  sub_821CAD60  [called 0x]
  0x821CAD68  sub_821CAD68  [called 0x]
  0x821CB3A0  sub_821CB3A0  [called 2x]
  0x821CB978  sub_821CB978  [called 1x]
  0x821CBA10  sub_821CBA10  [called 1x]
  0x821CCBD0  sub_821CCBD0  [called 7x]
  0x821CCE00  sub_821CCE00  [called 11x]
  0x821CCEE8  sub_821CCEE8  [called 1x]
  0x821CCFE0  sub_821CCFE0  [called 1x]
  0x821CD0F8  sub_821CD0F8  [called 3x]
  0x821CD248  sub_821CD248  [called 2x]
  0x821CD2B0  sub_821CD2B0  [called 1x]
