auto_namer_v5b Results
======================================================================

Pass P1    :     0
Pass P1r   :    52
Pass P2    :     0
Pass P6    :     0
Pass P7    :     1
Pass P8f   :   842
Pass P8fw  :    21
Pass P8r   :   658
Pass P8rh  :   156
Pass P9    :     0
Pass P10   :     0
Total renames:    1730
fn_8 fixed:       1678
Remaining:        5404
Coverage:         23.7%

======================================================================
DETAIL
======================================================================
  [P8f  ] 0x821C6680  game_6680                                                fwd 2/5 'game'
  [P8f  ] 0x821C6840  game_6840                                                fwd 2/5 'game'
  [P8f  ] 0x821C6A00  game_6A00                                                fwd 2/5 'game'
  [P8f  ] 0x821C6BF8  game_6BF8_6BF8                                           fwd 2/5 'game'
  [P8f  ] 0x821C6DA8  game_6DA8                                                fwd 2/5 'game'
  [P8f  ] 0x821C6F50  game_6F50                                                fwd 2/5 'game'
  [P8f  ] 0x821C7128  game_7128                                                fwd 2/5 'game'
  [P8f  ] 0x821C7320  game_7320                                                fwd 2/5 'game'
  [P8f  ] 0x821C7530  game_7530                                                fwd 2/4 'game'
  [P1r  ] 0x821C95A8  gdGameData_CalculateVariation                            string ref (was gd_GameData_CalculateVariation_95A8_95A8_95A8_95A8_95A8_95A8_95A8)
  [P8r  ] 0x821C9B70  game_9B70_9B70                                           rev 10/26 callers 'game'
  [P8r  ] 0x821C9CD0  game_9CD0                                                rev 6/13 callers 'game'
  [P8f  ] 0x821CA720  game_A720                                                fwd 2/3 'game'
  [P8f  ] 0x821CADC0  game_ADC0                                                fwd 2/5 'game'
  [P8r  ] 0x821CB048  pongLerpQueue_B048                                       rev 2/3 callers 'pongLerpQueue'
  [P8f  ] 0x821CC838  game_C838_C838                                           fwd 2/6 'game'
