auto_namer.py  –  Results
============================================================

Pass 1  (string refs):        0
Pass 2  (thunks):           143
Pass 3  (call patterns):    617
Pass 4  (stubs/nops):       168
──────────────────────────────
Total named this run:       928
Previously unnamed:        8634
Coverage:                 10.7%

============================================================
DETAIL (sorted by address)
============================================================
  0x8225EB38  vtthunk_8225EB38                                    [vtable thunk (6 insns, ends bctr)]
  0x822602E8  game_02E8                                           [calls 3x into 'game' module]
  0x82260578  game_0578                                           [calls 2x into 'game' module]
  0x822609F0  game_09F0                                           [calls 2x into 'game' module]
  0x82260C10  game_0C10                                           [calls 2x into 'game' module]
  0x822630E8  rage_30E8                                           [calls 2x into 'rage' module]
  0x82271890  thunk_fn_822723E8                                   [thunk -> fn_822723E8]
  0x82271898  thunk_fn_822724B8                                   [thunk -> fn_822724B8]
  0x822718A0  thunk_fn_82272588                                   [thunk -> fn_82272588]
  0x822718A8  thunk_fn_82272658                                   [thunk -> fn_82272658]
  0x82272910  game_2910                                           [calls 2x into 'game' module]
  0x82276D30  game_6D30                                           [calls 2x into 'game' module]
  0x822771E0  rage_71E0                                           [calls 5x into 'rage' module]
  0x8227ECE0  rage_ECE0                                           [calls 10x into 'rage' module]
  0x82281CF8  vtthunk_82281CF8                                    [vtable thunk (5 insns, ends bctr)]
  0x82282240  game_2240                                           [calls 4x into 'game' module]
  0x8228A7D8  game_A7D8                                           [calls 12x into 'game' module]
  0x82290E50  game_0E50                                           [calls 2x into 'game' module]
  0x82291058  rage_1058                                           [calls 5x into 'rage' module]
  0x82297220  rage_7220                                           [calls 3x into 'rage' module]
  0x8229B418  game_B418                                           [calls 2x into 'game' module]
  0x822A2B98  rage_2B98                                           [calls 2x into 'rage' module]
  0x822A9378  ph_9378                                             [calls 2x into 'ph' module]
  0x822AD140  rage_D140                                           [calls 4x into 'rage' module]
  0x822ADEF8  ph_DEF8                                             [calls 2x into 'ph' module]
  0x822AFD58  ke_FD58                                             [calls 8x into 'ke' module]
  0x822BDC80  game_DC80                                           [calls 2x into 'game' module]
  0x822C0628  game_0628                                           [calls 10x into 'game' module]
  0x822C14F0  rage_14F0                                           [calls 14x into 'rage' module]
  0x822C1B20  vtthunk_822C1B20                                    [vtable thunk (4 insns, ends bctr)]
  0x822C1FA0  game_1FA0                                           [calls 2x into 'game' module]
  0x822CB0E0  game_B0E0                                           [calls 3x into 'game' module]
  0x822D5BC0  game_5BC0                                           [calls 2x into 'game' module]
  0x822D6008  game_6008                                           [calls 2x into 'game' module]
  0x822DB398  game_B398                                           [calls 3x into 'game' module]
  0x822DF238  rage_F238                                           [calls 3x into 'rage' module]
  0x822DFD20  vt_FD20                                             [calls 3x into 'vt' module]
  0x822E0BD0  game_0BD0                                           [calls 2x into 'game' module]
  0x822E20C0  game_20C0                                           [calls 2x into 'game' module]
  0x822E3118  rage_3118                                           [calls 2x into 'rage' module]
  0x822EA240  nt_A240                                             [calls 2x into 'nt' module]
  0x822EAD88  rage_AD88                                           [calls 2x into 'rage' module]
  0x822EBF88  game_BF88                                           [calls 3x into 'game' module]
  0x822ED968  game_D968                                           [calls 6x into 'game' module]
  0x822EDEE0  rage_DEE0                                           [calls 3x into 'rage' module]
  0x822F14A8  game_14A8                                           [calls 3x into 'game' module]
  0x822F4C98  game_4C98                                           [calls 2x into 'game' module]
  0x822F5628  game_5628                                           [calls 3x into 'game' module]
  0x822F5750  game_5750                                           [calls 3x into 'game' module]
  0x822F5878  game_5878                                           [calls 3x into 'game' module]
  0x822F59A0  game_59A0                                           [calls 3x into 'game' module]
  0x822F5AC8  game_5AC8                                           [calls 3x into 'game' module]
  0x822F5BF0  game_5BF0                                           [calls 3x into 'game' module]
  0x822F5D10  game_5D10                                           [calls 3x into 'game' module]
  0x822F5DA0  game_5DA0                                           [calls 3x into 'game' module]
  0x822F5E30  game_5E30                                           [calls 3x into 'game' module]
  0x822F5EC0  game_5EC0                                           [calls 3x into 'game' module]
  0x822F5F50  game_5F50                                           [calls 3x into 'game' module]
  0x822F5FE0  game_5FE0                                           [calls 3x into 'game' module]
  0x822F8750  game_8750                                           [calls 10x into 'game' module]
  0x822F9900  vtthunk_822F9900                                    [vtable thunk (4 insns, ends bctr)]
  0x822F9910  vtthunk_822F9910                                    [vtable thunk (4 insns, ends bctr)]
  0x822F9920  vtthunk_822F9920                                    [vtable thunk (4 insns, ends bctr)]
  0x822F9930  vtthunk_822F9930                                    [vtable thunk (4 insns, ends bctr)]
  0x822F9940  vtthunk_822F9940                                    [vtable thunk (4 insns, ends bctr)]
  0x822F9950  vtthunk_822F9950                                    [vtable thunk (4 insns, ends bctr)]
  0x822F9960  vtthunk_822F9960                                    [vtable thunk (4 insns, ends bctr)]
  0x822F9970  vtthunk_822F9970                                    [vtable thunk (4 insns, ends bctr)]
  0x822F9980  vtthunk_822F9980                                    [vtable thunk (4 insns, ends bctr)]
  0x822F9990  vtthunk_822F9990                                    [vtable thunk (4 insns, ends bctr)]
  0x822F99A0  vtthunk_822F99A0                                    [vtable thunk (4 insns, ends bctr)]
  0x822F99B0  vtthunk_822F99B0                                    [vtable thunk (4 insns, ends bctr)]
  0x822F99C0  vtthunk_822F99C0                                    [vtable thunk (4 insns, ends bctr)]
  0x822F99D0  vtthunk_822F99D0                                    [vtable thunk (4 insns, ends bctr)]
  0x822F9B88  game_9B88                                           [calls 2x into 'game' module]
  0x822FAC08  game_AC08                                           [calls 3x into 'game' module]
  0x822FB560  game_B560                                           [calls 2x into 'game' module]
  0x822FBCA8  rage_BCA8                                           [calls 2x into 'rage' module]
  0x822FCD48  nop_CD48                                            [calls 2x into 'nop' module]
  0x822FF348  game_F348                                           [calls 2x into 'game' module]
  0x822FFFF0  game_FFF0                                           [calls 2x into 'game' module]
  0x82300EC8  game_0EC8                                           [calls 3x into 'game' module]
  0x82304678  game_4678                                           [calls 2x into 'game' module]
  0x82304E48  nop_4E48                                            [stub/nop body]
  0x82304FE0  rage_4FE0                                           [calls 2x into 'rage' module]
  0x82306518  game_6518                                           [calls 2x into 'game' module]
  0x823069D8  rage_69D8                                           [calls 2x into 'rage' module]
  0x82308938  nop_8938                                            [stub/nop body]
  0x823089E8  vtthunk_823089E8                                    [vtable thunk (4 insns, ends bctr)]
  0x82309498  rage_9498                                           [calls 2x into 'rage' module]
  0x82309740  game_9740                                           [calls 3x into 'game' module]
  0x8230B3C0  game_B3C0                                           [calls 4x into 'game' module]
  0x8230B6E8  game_B6E8                                           [calls 2x into 'game' module]
  0x8230DA80  nop_DA80                                            [calls 2x into 'nop' module]
  0x8230EE00  game_EE00                                           [calls 7x into 'game' module]
  0x82312120  rage_2120                                           [calls 2x into 'rage' module]
  0x82312700  game_2700                                           [calls 3x into 'game' module]
  0x82312CB8  rage_2CB8                                           [calls 2x into 'rage' module]
  0x823151D0  rage_51D0                                           [calls 3x into 'rage' module]
